last-two__xwoba,last-two__wellhitpct,last-two__obp,last-two__ops,last-two__slg,last-two__hbp,last-two__hr/fb,last-two__k,last-two__sb,last-two__gp,last-two__ab,last-two__woba,last-two__iso,last-two__babip,last-two__avg,last-two__k%,last-two__bb%,last-two__muwoba,season__xwoba,season__wellhitpct,season__obp,season__ops,season__slg,season__hbp,season__hr/fb,season__k,season__sb,season__gp,season__ab,season__woba,season__iso,season__babip,season__avg,season__k%,season__bb%,season__muwoba,12weeks__xwoba,12weeks__wellhitpct,12weeks__obp,12weeks__ops,12weeks__slg,12weeks__hbp,12weeks__hr/fb,12weeks__k,12weeks__sb,12weeks__gp,12weeks__ab,12weeks__woba,12weeks__iso,12weeks__babip,12weeks__avg,12weeks__k%,12weeks__bb%,12weeks__muwoba,4weeks__xwoba,4weeks__wellhitpct,4weeks__obp,4weeks__ops,4weeks__slg,4weeks__hbp,4weeks__hr/fb,4weeks__k,4weeks__sb,4weeks__gp,4weeks__ab,4weeks__woba,4weeks__iso,4weeks__babip,4weeks__avg,4weeks__k%,4weeks__bb%,4weeks__muwoba,2weeks__xwoba,2weeks__wellhitpct,2weeks__obp,2weeks__ops,2weeks__slg,2weeks__hbp,2weeks__hr/fb,2weeks__k,2weeks__sb,2weeks__gp,2weeks__ab,2weeks__woba,2weeks__iso,2weeks__babip,2weeks__avg,2weeks__k%,2weeks__bb%,2weeks__muwoba,1week__xwoba,1week__wellhitpct,1week__obp,1week__ops,1week__slg,1week__hbp,1week__hr/fb,1week__k,1week__sb,1week__gp,1week__ab,1week__woba,1week__iso,1week__babip,1week__avg,1week__k%,1week__bb%,1week__muwoba,yesterday__muwoba,yesterday__ab,yesterday__avg,yesterday__woba,yesterday__iso,yesterday__obp,yesterday__slg,yesterday__k%,yesterday__bb%,yesterday__ops,yesterday__babip,player__id,player__xml_id,player__first_name,player__last_name,player__team,player__team_id,player__sport_id,player__hand,player__position,player__salaries,player_name,salary,schedule_id,team,home?,position,opp,dvp,dvprank,projected_stats_id,deviation,pmin,ceil,floor,points,pown%,rank,saldiff,rankdiff,average,pt/$/k,contr,id,player_id,status,ceiling,minutes,ip,2,20,43,50,schedule__data,60,o/u,total,line,movement,pitcher__last_name,pitcher__first_name,pitcher__hand,pitcher__id,order,confirmed,ump,rating,k_perc,uibb_perc,score__contact,score__context,score__pitchtypes,score__production,score__platediscipline,score__recentskill,score__stolenbase,score__sbfactor,score__overall,factors__positivect,factors__negativect
0.384,9.509,0.335,0.767,0.432,1,0.141,56,5,215,287,0.340,0.178,0.273,0.254,17.2,10.7,0.344,0.446,12.195,0.378,0.864,0.486,1,0.167,14,0,55,70,0.380,0.2,0.302,0.286,17.1,12.2,0.344,0.446,12.195,0.378,0.864,0.486,1,0.167,14,0,55,70,0.380,0.2,0.302,0.286,17.1,12.2,0.344,0.336,18.182,0.303,0.648,0.345,1,0.077,5,0,21,29,0.297,0.103,0.25,0.241,15.2,6.1,0.344,0.328,22.222,0.333,0.771,0.438,0,0.111,2,0,11,16,0.355,0.188,0.231,0.250,11.1,11.1,0.344,0.382,18.182,0.273,0.818,0.545,0,0.167,2,0,6,11,0.346,0.273,0.25,0.273,18.2,0.0,0.344,0.344,0,0,0,0,0,0,0,0,0,0,18007,8a7b7092-4e7b-4112-92bf-fc5d72a83d17,Enrique,Hernandez,NA,116,2,R,2B,NA,Enrique Hernandez,3900.00,56751,LAD,False,2B/OF,ARI,0,0,718650,,,13.05068,1.93035,7.57,44.00%,,800,3,,1.94,0.17204545454545,718650,18007,,0.724,,,9.84,7.57,7.57,7.59,NA,8.18,8.5,4.48,-132,-0.1,Ray,Robbie,L,17457,2,1,Gary Cederstrom,Neutral,0.23,0.08,74.148355,55.59,48.245952478678,57.2813,31.5654725,42.4469775,51.1314,1.278285,58.35,9,12
0.288,8.219,0.274,0.588,0.314,0,0.077,13,2,49,70,0.259,0.071,0.286,0.243,17.8,4.1,0.262,0.256,4.918,0.279,0.555,0.276,0,0,10,1,35,58,0.248,0.034,0.292,0.241,16.4,4.9,0.262,0.256,4.918,0.279,0.555,0.276,0,0,10,1,35,58,0.248,0.034,0.292,0.241,16.4,4.9,0.262,0.289,0,0.414,0.760,0.346,0,0,5,0,13,26,0.344,0,0.429,0.346,17.2,10.3,0.262,0.284,0,0.458,0.839,0.381,0,0,3,0,9,21,0.379,0,0.444,0.381,12.5,12.5,0.262,0.301,0,0.500,0.900,0.400,0,0,2,0,6,15,0.407,0,0.462,0.400,11.1,16.7,0.262,0.262,0,0,0,0,0,0,0,0,0,0,16395,049a45ca-5327-4e58-bb85-87c707389d30,Ildemaro,Vargas,NA,109,2,S,2B,NA,Ildemaro Vargas,3600.00,56751,ARI,True,2B/3B,LAD,0,0,718782,,,7,7,7,4.00%,,1400,1,,1.94,1.75,718782,16395,,0,,,7.92,7,7,6.86,NA,7.92,8.5,4.02,114,0.1,Buehler,Walker,R,37584,7,1,Gary Cederstrom,Neutral,0.23,0.08,51.05320125,53.102,48.036340158323,31.133175,45.17387,41.9611915,36.62505,0.91562625,42.62,1,19
0.470,7.111,0.449,0.998,0.549,3,0.208,48,31,194,175,0.429,0.257,0.350,0.291,21.3,20.9,0.369,0.439,7.595,0.443,1.008,0.565,1,0.211,13,7,54,62,0.431,0.274,0.311,0.290,16.5,20.3,0.369,0.439,7.595,0.443,1.008,0.565,1,0.211,13,7,54,62,0.431,0.274,0.311,0.290,16.5,20.3,0.369,0.438,8.108,0.514,1.135,0.621,0,0.111,6,3,23,29,0.482,0.241,0.455,0.379,16.2,21.6,0.369,0.463,11.111,0.556,1.223,0.667,0,0,2,1,11,15,0.518,0.2,0.538,0.467,11.1,16.7,0.369,0.684,0,0.800,1.657,0.857,0,0,1,1,6,7,0.683,0.143,0.833,0.714,10.0,30.0,0.369,0.369,2,1.000,0.815,0,1.000,1.000,0.0,33.3,2.000,1,11380,7f518632-2d5d-48c8-b994-2d4d43a1ef3b,Mike,Trout,NA,101,2,R,OF,NA,Mike Trout,5700.00,55826,LAA,False,OF,CHC,0,0,718635,,,19.57319,3.12116,10.99,0.00%,,800,0,,1.93,0,718635,11380,,0.781,,,14.62,10.99,10.99,11.12,NA,11.78,9,3.86,154,3.86,Lester,Jon,L,10969,2,1,Jerry Meals,Neutral,0.23,0.08,59.607856875,50.968,56.090263035536,62.893175,60.5800985,62.29432475,79.6932,1.99233,61.21,9,11
0.399,11.018,0.403,0.945,0.542,16,0.180,89,11,223,589,0.407,0.263,0.273,0.278,12.4,15.2,0.362,0.378,11.518,0.403,0.981,0.578,3,0.228,22,1,58,154,0.417,0.299,0.246,0.279,11.5,16.2,0.362,0.378,11.518,0.403,0.981,0.578,3,0.228,22,1,58,154,0.417,0.299,0.246,0.279,11.5,16.2,0.362,0.341,10.811,0.365,0.890,0.525,1,0.238,8,0,26,61,0.379,0.279,0.204,0.246,10.8,14.9,0.362,0.219,7.895,0.342,0.780,0.438,1,0.154,2,0,13,32,0.342,0.219,0.179,0.219,5.3,13.2,0.362,0.230,11.111,0.278,0.749,0.471,0,0.143,2,0,6,17,0.319,0.235,0.214,0.235,11.1,5.6,0.362,0.362,5,0.400,0.408,0,0.500,0.400,16.7,16.7,0.900,0.5,35330,7229d580-9405-4d8b-b582-0980dbb2a46a,Alex,Bregman,NA,115,2,R,SS,NA,Alex Bregman,4900.00,56753,HOU,False,3B,SEA,0,0,718682,,,16.826,2.0586,9.4,39.00%,,500,2,,1.92,0.24102564102564,718682,35330,,0.79,,,12.49,9.4,9.4,9.45,NA,10.09,10,5.28,-132,5.28,Gearrin,Cory,R,11145,2,1,Pat Hoberg,Neutral,0.22,0.08,51.08707275,58.242,49.785554789054,53.380475,43.114858,44.6213081,66.7575,1.6689375,51.77,3,10
0.491,11.570,0.393,0.958,0.565,1,0.274,56,0,90,200,0.409,0.295,0.289,0.270,23.1,16.5,0.373,0.465,12.270,0.405,1.029,0.624,0,0.295,40,0,53,133,0.434,0.346,0.296,0.278,24.5,17.8,0.373,0.465,12.270,0.405,1.029,0.624,0,0.295,40,0,53,133,0.434,0.346,0.296,0.278,24.5,17.8,0.373,0.466,13.889,0.333,0.825,0.492,0,0.238,20,0,24,63,0.355,0.254,0.263,0.238,27.8,12.5,0.373,0.517,14.286,0.371,0.838,0.467,0,0.222,10,0,13,30,0.366,0.2,0.333,0.267,28.6,14.3,0.373,0.835,18.75,0.375,0.908,0.533,0,0.333,7,0,7,15,0.391,0.2,0.571,0.333,43.8,6.2,0.373,0.373,1,0.000,0,0,0.000,0.000,100.0,0.0,0.000,,16151,fa76cc26-d558-4651-8d23-5652519a7dc0,Daniel,Vogelbach,NA,105,2,L,1B,NA,Daniel Vogelbach,4300.00,56753,SEA,True,1B,HOU,0,0,718698,,,15.30777,1.81113,8.27,12.00%,,600,0,,1.92,0.68916666666667,718698,16151,,0.851,,,11.09,8.27,8.27,8.43,NA,8.93,10,4.72,116,4.72,Martin,Corbin,R,1018408,4,1,Pat Hoberg,Neutral,0.22,0.08,60.367940875,56.122,51.583828716216,61.716055,53.4514435,56.23562615,31.22,0.7805,58.46,4,8
0.395,8.216,0.346,0.788,0.442,23,0.183,133,2,158,360,0.348,0.211,0.306,0.231,31.2,9.6,0.333,0.271,4.959,0.367,0.867,0.500,6,0.188,29,0,45,102,0.380,0.245,0.299,0.255,24.0,9.9,0.333,0.271,4.959,0.367,0.867,0.500,6,0.188,29,0,45,102,0.380,0.245,0.299,0.255,24.0,9.9,0.333,0.302,4.444,0.378,0.904,0.526,2,0.273,8,0,20,38,0.390,0.263,0.259,0.263,17.8,11.1,0.333,0.303,0,0.280,0.598,0.318,2,0.143,4,0,10,22,0.272,0.136,0.176,0.182,16.0,4.0,0.333,0.372,0,0.273,0.773,0.500,1,0.333,1,0,4,10,0.331,0.3,0.125,0.200,9.1,0.0,0.333,0.333,0,0,0,0,0,0,0,0,0,0,14646,2ec3abd0-bbdd-441d-8400-d539d96e7fbf,Robinson,Chirinos,NA,115,2,R,C,NA,Robinson Chirinos,3800.00,56753,HOU,False,C,SEA,0,0,718684,,,11.95956,1.85703,7.17,33.00%,,700,-3,,1.89,0.21727272727273,718684,14646,,0.668,,,9.48,7.17,7.17,7.26,NA,7.84,10,5.28,-132,5.28,Gearrin,Cory,R,11145,5,1,Pat Hoberg,Neutral,0.22,0.08,47.536935875,58.242,40.047067160775,44.00955,25.2745965,36.83184985,45.2921,1.1323025,41.78,1,14
0.438,9.375,0.319,0.852,0.533,4,0.231,207,24,214,664,0.363,0.248,0.363,0.285,29.4,4.4,0.341,0.454,9.406,0.322,0.811,0.489,0,0.222,66,2,55,190,0.350,0.211,0.388,0.279,32.7,5.9,0.341,0.454,9.406,0.322,0.811,0.489,0,0.222,66,2,55,190,0.350,0.211,0.388,0.279,32.7,5.9,0.341,0.469,6.977,0.326,0.756,0.430,0,0.2,33,0,24,79,0.332,0.165,0.432,0.266,38.4,8.1,0.341,0.501,8.333,0.278,0.702,0.424,0,0.4,16,0,11,33,0.303,0.212,0.333,0.212,44.4,8.3,0.341,0.154,0,0.158,0.217,0.059,0,0,10,0,5,17,0.119,0,0.143,0.059,52.6,10.5,0.341,0.341,4,0.000,0,0,0.000,0.000,50.0,0.0,0.000,0,15811,497c4595-bd0f-4a9e-b9cf-cb2eacb735bb,Javier,Baez,NA,111,2,R,SS,NA,Javier Baez,4800.00,55826,CHC,True,2B/SS,LAA,0,0,718639,,,15.61287,2.05884,9.03,0.00%,,700,0,,1.88,0,718639,15811,,0.729,,,11.82,9.03,9.03,8.84,NA,9.45,9,5.14,-178,5.14,Bedrosian,Cam,R,17721,4,1,Jerry Meals,Neutral,0.23,0.08,65.297755625,57.568,49.91382787037,53.208125,24.538003,40.69239725,64.3729,1.6093225,53.4,8,13
0.312,11.173,0.305,0.715,0.410,6,0.107,78,18,188,488,0.312,0.168,0.253,0.242,14.5,7.4,0.290,0.255,11.719,0.250,0.611,0.361,2,0.116,21,1,49,119,0.270,0.168,0.194,0.193,16.4,5.5,0.290,0.255,11.719,0.250,0.611,0.361,2,0.116,21,1,49,119,0.270,0.168,0.194,0.193,16.4,5.5,0.290,0.282,11.628,0.279,0.767,0.488,1,0.214,6,0,16,41,0.327,0.244,0.219,0.244,14.0,2.3,0.290,0.295,12.5,0.292,0.837,0.545,1,0.2,4,0,9,22,0.354,0.318,0.188,0.227,16.7,4.2,0.290,0.460,10,0.300,0.856,0.556,0,0.333,3,0,5,9,0.361,0.333,0.2,0.222,30.0,10.0,0.290,0.290,1,0.000,0,0,0.000,0.000,100.0,0.0,0.000,,10371,8189ef68-447c-4573-94d5-8d690abbcfbf,Ian,Kinsler,NA,121,2,R,2B,NA,Ian Kinsler,3200.00,56752,SDP,True,2B,PHI,0,0,718675,,,10.716,0.0060000000000002,6,5.00%,,800,5,,1.88,1.2,718675,10371,,0.786,,,7.81,6,6,5.89,NA,6.38,7.5,3.55,114,0,Nola,Aaron,R,21538,7,1,Ramon De Jesus,Neutral,0.22,0.09,41.029214375,47.854,49.471176140203,31.130575,33.711752,39.26208275,70.3464,1.75866,37.33,0,28
0.426,17.647,0.275,0.713,0.438,0,0.158,10,2,44,48,0.306,0.208,0.229,0.229,19.6,5.9,0.308,0.06,0,0.000,0.000,0.000,0,0,2,0,4,3,0,0,0,0.000,66.7,0.0,0.308,0.06,0,0.000,0.000,0.000,0,0,2,0,4,3,0,0,0,0.000,66.7,0.0,0.308,,,0,0,0,,,,,,0,0,0,0,0,0,0,0.308,,,0,0,0,,,,,,0,0,0,0,0,0,0,0.308,,,0,0,0,,,,,,0,0,0,0,0,0,0,0.308,0.308,0,0,0,0,0,0,0,0,0,0,493497,ddecbea2-f3dd-44de-8e87-da1541bf1a61,Taylor,Ward,NA,101,2,R,3B,NA,Taylor Ward,3300.00,55826,LAA,False,3B,CHC,0,0,718754,,,6.13,6.13,6.13,0.00%,,1300,0,,1.86,0,718754,493497,,0,,,6.96,6.13,6.13,6.03,NA,6.96,9,3.86,154,3.86,Lester,Jon,L,10969,8,1,Jerry Meals,Neutral,0.23,0.08,61.117162375,50.968,47.33241850714,49.002255,50.221013,51.68387755,49.18,1.2295,47.35,1,10
0.469,10.056,0.318,0.793,0.475,3,0.195,62,4,93,162,0.341,0.228,0.348,0.247,34.6,7.8,0.298,0.478,11.392,0.323,0.833,0.510,2,0.205,53,3,56,145,0.355,0.248,0.357,0.262,33.5,7.0,0.298,0.478,11.392,0.323,0.833,0.510,2,0.205,53,3,56,145,0.355,0.248,0.357,0.262,33.5,7.0,0.298,0.372,5.797,0.246,0.552,0.306,2,0.105,21,0,24,62,0.247,0.145,0.205,0.161,30.4,7.2,0.298,0.389,2.857,0.257,0.538,0.281,1,0.143,11,0,12,32,0.244,0.094,0.25,0.188,31.4,5.7,0.298,0.461,4.545,0.273,0.654,0.381,0,0.167,5,0,7,21,0.284,0.143,0.267,0.238,22.7,4.5,0.298,0.298,0,0,0,0,0,0,0,0,0,0,16300,9a87c7e5-41f7-4658-833a-d81920b79390,Christian,Walker,NA,109,2,R,1B,NA,Christian Walker,3900.00,56751,ARI,True,1B,LAD,0,0,718656,,,12.17532,0.0072299999999998,7.23,4.00%,,1000,0,,1.85,1.8075,718656,16300,,0.684,,,9.48,7.23,7.23,7.16,NA,7.67,8.5,4.02,114,0.1,Buehler,Walker,R,37584,6,1,Gary Cederstrom,Neutral,0.23,0.08,68.117885,53.79,47.300584199829,27.691375,21.6623,45.032305,45.70465,1.14261625,46.35,5,21
0.318,9.343,0.344,0.680,0.336,4,0.061,56,3,156,247,0.307,0.089,0.304,0.247,19.4,11.8,0.299,0.345,5.660,0.377,0.799,0.422,0,0.222,28,0,42,90,0.351,0.144,0.377,0.278,26.4,14.2,0.299,0.345,5.660,0.377,0.799,0.422,0,0.222,28,0,42,90,0.351,0.144,0.377,0.278,26.4,14.2,0.299,0.372,4.688,0.375,0.806,0.431,0,0.167,19,0,20,58,0.353,0.121,0.447,0.310,29.7,9.4,0.299,0.384,8.571,0.371,0.840,0.469,0,0.2,13,0,10,32,0.365,0.156,0.5,0.312,37.1,8.6,0.299,0.239,7.143,0.286,0.517,0.231,0,0,6,0,4,13,0.237,0,0.429,0.231,42.9,7.1,0.299,0.299,2,0.000,0,0,0.000,0.000,100.0,0.0,0.000,,16078,d0a6b792-d552-46d6-8397-75b866f15112,Greg,Garcia,NA,121,2,L,2B,NA,Greg Garcia,3700.00,56752,SDP,True,2B/3B,PHI,0,0,718679,,,10.88019,1.96704,6.83,6.00%,,1200,-1,,1.85,1.1383333333333,718679,16078,,0.593,,,8.75,6.83,6.83,6.69,NA,7.36,7.5,3.55,114,0,Nola,Aaron,R,21538,1,1,Ramon De Jesus,Neutral,0.22,0.09,49.102360625,45.626,44.800969932432,44.7121,45.512409,40.578508,55.5802,1.389505,47.91,2,18
0.407,15.789,0.263,0.665,0.402,0,0.105,89,2,164,408,0.286,0.186,0.236,0.216,20.4,6.2,0.311,0.485,20,0.400,0.821,0.421,0,0,3,0,9,19,0.361,0.053,0.438,0.368,15.0,5.0,0.311,0.485,20,0.400,0.821,0.421,0,0,3,0,9,19,0.361,0.053,0.438,0.368,15.0,5.0,0.311,0.485,20,0.400,0.821,0.421,0,0,3,0,9,19,0.361,0.053,0.438,0.368,15.0,5.0,0.311,0.485,20,0.400,0.821,0.421,0,0,3,0,9,19,0.361,0.053,0.438,0.368,15.0,5.0,0.311,0.451,12.5,0.375,0.708,0.333,0,0,3,0,7,15,0.318,0,0.417,0.333,18.8,6.2,0.311,0.311,0,0,0,0,1.000,0.000,0,0,1.000,0,11373,483d3c01-a089-407d-baaf-c7bfabd56587,Kyle,Seager,NA,105,2,L,3B,NA,Kyle Seager,3400.00,56753,SEA,True,3B,HOU,0,0,718695,,,9.91304,0.0062899999999999,6.29,10.00%,,800,2,,1.85,0.629,718695,11373,,0.576,,,8.1,6.29,6.29,6.23,NA,6.81,10,4.72,116,4.72,Martin,Corbin,R,1018408,5,1,Pat Hoberg,Neutral,0.22,0.08,57.460127125,56.122,53.561518158784,54.90016,52.538294,52.7871932,39.3494,0.983735,54.1,2,8
0.295,12.037,0.276,0.563,0.287,2,0.061,15,0,57,94,0.256,0.096,0.208,0.191,13.9,8.3,0.255,0.293,10.390,0.286,0.629,0.343,1,0.087,12,0,38,70,0.279,0.129,0.232,0.214,15.6,7.8,0.255,0.293,10.390,0.286,0.629,0.343,1,0.087,12,0,38,70,0.279,0.129,0.232,0.214,15.6,7.8,0.255,0.340,8.571,0.429,0.962,0.533,0,0.182,3,0,19,30,0.416,0.2,0.32,0.333,8.6,14.3,0.255,0.346,9.091,0.455,1.005,0.550,0,0.167,2,0,10,20,0.435,0.15,0.412,0.400,9.1,9.1,0.255,0.339,10,0.600,1.500,0.900,0,0.25,1,0,5,10,0.644,0.3,0.625,0.600,10.0,0.0,0.255,0.255,0,0,0,0,0,0,0,0,0,0,16203,d421cd0d-43d1-41fa-9ef0-8bf1bb2442aa,Carson,Kelly,NA,109,2,R,C,NA,Carson Kelly,3700.00,56751,ARI,True,C,LAD,0,0,718781,,,6.8,6.8,6.8,5.00%,,1400,-10,,1.84,1.36,718781,16203,,0,,,7.68,6.8,6.8,6.66,NA,7.68,8.5,4.02,114,0.1,Buehler,Walker,R,37584,8,1,Gary Cederstrom,Neutral,0.23,0.08,54.56911125,53.79,46.878981161746,25.5663,32.68269,46.90651125,21.37525,0.53438125,38.45,0,26
0.369,9.621,0.283,0.708,0.425,2,0.154,93,3,133,320,0.308,0.191,0.285,0.234,27.1,5.8,0.287,0.386,7.965,0.274,0.670,0.396,1,0.2,35,0,42,106,0.298,0.170,0.288,0.226,31.0,5.3,0.287,0.386,7.965,0.274,0.670,0.396,1,0.2,35,0,42,106,0.298,0.170,0.288,0.226,31.0,5.3,0.287,0.405,8,0.280,0.697,0.417,0,0.182,20,0,20,48,0.308,0.167,0.385,0.250,40.0,4.0,0.287,0.436,10.714,0.357,0.987,0.630,0,0.25,10,0,11,27,0.417,0.296,0.467,0.333,35.7,3.6,0.287,0.195,0,0.250,0.523,0.273,0,0,5,0,6,11,0.235,0.091,0.333,0.182,41.7,8.3,0.287,0.287,1,0.000,0,0,0.000,0.000,100.0,0.0,0.000,,15943,3391b452-8d5f-4730-8edc-9844b4f336a6,Austin,Hedges,NA,121,2,R,C,NA,Austin Hedges,2900.00,56752,SDP,True,C,PHI,0,0,718676,,,9.34214,0.0052899999999996,5.29,5.00%,,500,-7,,1.82,1.058,718676,15943,,0.766,,,7.02,5.29,5.29,5.34,NA,5.77,7.5,3.55,114,0,Nola,Aaron,R,21538,8,1,Ramon De Jesus,Neutral,0.22,0.09,45.45767375,47.854,39.33960660473,24.9786,19.861625,39.2644575,63.27,1.58175,32.68,0,31
0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.397,25,0.500,0.833,0.333,0,0,1,0,4,3,0.392,0,0.5,0.333,25.0,25.0,0.370,0.370,0,0,0,0,0,0,0,0,0,0,1054004,317b24ac-6a9b-4735-a4c5-64d879cd6bf7,Will,Smith,NA,116,2,R,C,NA,Will Smith,2700.00,56751,LAD,False,C,ARI,0,0,718658,,,9.15408,0.0048899999999996,4.89,24.00%,,400,-7,,1.81,0.20375,718658,1054004,,0.872,,,6.35,4.89,4.89,4.83,NA,5.28,8.5,4.48,-132,-0.1,Ray,Robbie,L,17457,6,1,Gary Cederstrom,Neutral,0.23,0.08,68.250443,55.59,46.225043843284,48.574415,29.1718595,41.4521077,37.302,0.93255,50.45,3,11
0.464,9.746,0.398,0.923,0.525,3,0.270,50,0,169,202,0.402,0.218,0.361,0.307,21.2,12.3,0.375,0.405,11.475,0.410,0.910,0.500,0,0.25,14,0,42,48,0.404,0.25,0.290,0.250,23.0,21.3,0.375,0.405,11.475,0.410,0.910,0.500,0,0.25,14,0,42,48,0.404,0.25,0.290,0.250,23.0,21.3,0.375,0.451,20,0.400,1.096,0.696,0,0.333,8,0,16,23,0.459,0.348,0.462,0.348,32.0,8.0,0.375,0.373,21.429,0.500,1.333,0.833,0,0.25,3,0,8,12,0.548,0.417,0.5,0.417,21.4,14.3,0.375,0.481,33.333,0.556,1.556,1.000,0,0.333,2,0,6,8,0.638,0.5,0.6,0.500,22.2,11.1,0.375,0.375,0,0,0,0,0,0,0,0,0,0,10441,6b511f87-fd17-4dfd-b227-8e96fc8951c2,David,Freese,NA,116,2,R,1B,NA,David Freese,4000.00,56751,LAD,False,1B,ARI,0,0,718652,,,11.52879,2.03322,7.21,8.00%,,1200,0,,1.8,0.90125,718652,10441,,0.599,,,9.43,7.21,7.21,7.22,NA,7.84,8.5,4.48,-132,-0.1,Ray,Robbie,L,17457,4,1,Gary Cederstrom,Neutral,0.23,0.08,72.5085305,55.59,50.067982729211,57.34725,31.8709695,47.09015095,39.692,0.9923,57.89,9,12
0.332,9.5,0.313,0.663,0.350,2,0.084,89,4,151,363,0.296,0.099,0.312,0.251,22.2,8.0,0.308,0.355,8.621,0.351,0.879,0.528,0,0.333,11,0,22,53,0.382,0.226,0.316,0.302,19.0,6.9,0.308,0.355,8.621,0.351,0.879,0.528,0,0.333,11,0,22,53,0.382,0.226,0.316,0.302,19.0,6.9,0.308,0.355,8.621,0.351,0.879,0.528,0,0.333,11,0,22,53,0.382,0.226,0.316,0.302,19.0,6.9,0.308,0.388,10.256,0.385,0.968,0.583,0,0.429,6,0,13,36,0.420,0.25,0.333,0.333,15.4,7.7,0.308,0.441,9.524,0.476,1.198,0.722,0,0.5,2,0,6,18,0.511,0.333,0.357,0.389,9.5,14.3,0.308,0.308,3,0.000,0.275,0,0.250,0.000,0.0,25.0,0.250,0,16146,408b2324-83a9-4366-a3b4-9883f2c46260,Addison,Russell,NA,111,2,R,2B,NA,Addison Russell,3800.00,55826,CHC,True,2B/SS,LAA,0,0,718641,,,12.41212,0.0067899999999996,6.79,0.00%,,1000,2,,1.79,0,718641,16146,,0.828,,,8.9,6.79,6.79,6.72,NA,7.28,9,5.14,-178,5.14,Bedrosian,Cam,R,17721,8,1,Jerry Meals,Neutral,0.23,0.08,61.35439725,55.568,48.04974025463,51.24115,29.0924685,41.7694116,47.0059,1.1751475,44.1,4,16
0.464,14.876,0.397,0.907,0.510,3,0.091,41,4,171,204,0.395,0.216,0.335,0.294,16.9,13.6,0.372,0.457,17.568,0.297,0.728,0.431,1,0.103,16,1,52,65,0.323,0.215,0.234,0.215,21.6,9.5,0.372,0.457,17.568,0.297,0.728,0.431,1,0.103,16,1,52,65,0.323,0.215,0.234,0.215,21.6,9.5,0.372,0.401,23.810,0.286,0.953,0.667,1,0.182,0,1,19,18,0.381,0.444,0.118,0.222,0.0,4.8,0.372,0.290,20,0.200,0.644,0.444,0,0,0,1,8,9,0.25,0.222,0.2,0.222,0.0,0.0,0.372,0.202,25,0.250,0.750,0.500,0,0,0,0,4,4,0.312,0.25,0.25,0.250,0.0,0.0,0.372,0.372,0,0,0,0,0,0,0,0,0,0,11113,893e5243-1278-476c-8801-280b9b14aea7,Justin,Turner,NA,116,2,R,3B,NA,Justin Turner,4300.00,56751,LAD,False,3B,ARI,0,0,718651,,,11.78112,1.9584,7.68,19.00%,,1000,1,,1.79,0.40421052631579,718651,11113,,0.534,,,10.16,7.68,7.68,7.76,NA,8.38,8.5,4.48,-132,-0.1,Ray,Robbie,L,17457,3,1,Gary Cederstrom,Neutral,0.23,0.08,78.107469375,55.59,55.178761540512,61.51805,39.941638,51.2074635,48.7902,1.219755,63.32,11,8
0.411,13.613,0.277,0.725,0.448,0,0.194,29,1,166,172,0.314,0.238,0.180,0.209,15.2,8.9,0.312,0.441,14.925,0.284,0.816,0.532,0,0.207,9,0,49,62,0.350,0.306,0.170,0.226,13.4,7.5,0.312,0.441,14.925,0.284,0.816,0.532,0,0.207,9,0,49,62,0.350,0.306,0.170,0.226,13.4,7.5,0.312,0.529,23.333,0.267,0.786,0.519,0,0.214,3,0,18,27,0.332,0.333,0.095,0.185,10.0,10.0,0.312,0.360,12.5,0.375,1.067,0.692,0,0.333,1,0,9,13,0.440,0.462,0.1,0.231,6.2,18.8,0.312,0.389,22.222,0.444,1.569,1.125,0,0.5,0,0,5,8,0.629,0.75,0.167,0.375,0.0,11.1,0.312,0.312,3,0.333,0.682,1,0.333,1.333,0.0,0.0,1.666,0,10322,fb061c77-5253-4181-ad7b-c68ef18aa511,Albert,Pujols,NA,101,2,R,1B,NA,Albert Pujols,4000.00,55826,LAA,False,1B,CHC,0,0,718636,,,10.2169,2.0377,7.1,0.00%,,1000,-2,,1.78,0,718636,10322,,0.439,,,9.3,7.1,7.1,6.98,NA,7.63,9,3.86,154,3.86,Lester,Jon,L,10969,3,1,Jerry Meals,Neutral,0.23,0.08,64.19880375,50.968,52.11290505646,54.9837,53.4186965,59.02786225,53.7694,1.344235,59.21,3,10
