last-two__xwoba,last-two__wellhitpct,last-two__obp,last-two__ops,last-two__slg,last-two__hbp,last-two__hr/fb,last-two__k,last-two__sb,last-two__gp,last-two__ab,last-two__woba,last-two__iso,last-two__babip,last-two__avg,last-two__k%,last-two__bb%,last-two__muwoba,season__xwoba,season__wellhitpct,season__obp,season__ops,season__slg,season__hbp,season__hr/fb,season__k,season__sb,season__gp,season__ab,season__woba,season__iso,season__babip,season__avg,season__k%,season__bb%,season__muwoba,12weeks__xwoba,12weeks__wellhitpct,12weeks__obp,12weeks__ops,12weeks__slg,12weeks__hbp,12weeks__hr/fb,12weeks__k,12weeks__sb,12weeks__gp,12weeks__ab,12weeks__woba,12weeks__iso,12weeks__babip,12weeks__avg,12weeks__k%,12weeks__bb%,12weeks__muwoba,4weeks__xwoba,4weeks__wellhitpct,4weeks__obp,4weeks__ops,4weeks__slg,4weeks__hbp,4weeks__hr/fb,4weeks__k,4weeks__sb,4weeks__gp,4weeks__ab,4weeks__woba,4weeks__iso,4weeks__babip,4weeks__avg,4weeks__k%,4weeks__bb%,4weeks__muwoba,2weeks__xwoba,2weeks__wellhitpct,2weeks__obp,2weeks__ops,2weeks__slg,2weeks__hbp,2weeks__hr/fb,2weeks__k,2weeks__sb,2weeks__gp,2weeks__ab,2weeks__woba,2weeks__iso,2weeks__babip,2weeks__avg,2weeks__k%,2weeks__bb%,2weeks__muwoba,1week__xwoba,1week__wellhitpct,1week__obp,1week__ops,1week__slg,1week__hbp,1week__hr/fb,1week__k,1week__sb,1week__gp,1week__ab,1week__woba,1week__iso,1week__babip,1week__avg,1week__k%,1week__bb%,1week__muwoba,yesterday__muwoba,yesterday__ab,yesterday__avg,yesterday__woba,yesterday__iso,yesterday__obp,yesterday__slg,yesterday__k%,yesterday__bb%,yesterday__ops,yesterday__babip,player__id,player__xml_id,player__first_name,player__last_name,player__team,player__team_id,player__sport_id,player__hand,player__position,player__salaries,player_name,salary,schedule_id,team,home?,position,opp,dvp,dvprank,projected_stats_id,deviation,pmin,ceil,floor,points,pown%,rank,saldiff,rankdiff,average,pt/$/k,contr,id,player_id,status,ceiling,minutes,ip,2,20,43,50,schedule__data,60,o/u,total,line,movement,pitcher__last_name,pitcher__first_name,pitcher__hand,pitcher__id,order,confirmed,ump,rating,k_perc,uibb_perc,score__contact,score__context,score__pitchtypes,score__production,score__platediscipline,score__recentskill,score__stolenbase,score__sbfactor,score__overall,factors__positivect,factors__negativect
0.363,8.4,0.332,0.799,0.467,2,0.161,56,0,111,225,0.345,0.204,0.306,0.262,22.4,8.8,0.332,0.347,8,0.333,0.712,0.379,0,0.071,23,0,37,66,0.318,0.121,0.372,0.258,30.7,10.7,0.332,0.347,8,0.333,0.712,0.379,0,0.071,23,0,37,66,0.318,0.121,0.372,0.258,30.7,10.7,0.332,0.389,8.571,0.286,0.680,0.394,0,0.167,11,0,18,33,0.306,0.152,0.333,0.242,31.4,5.7,0.332,0.392,9.524,0.333,0.807,0.474,0,0.333,6,0,9,19,0.363,0.211,0.333,0.263,28.6,9.5,0.332,0.407,11.111,0.222,0.472,0.250,0,0,5,0,4,8,0.215,0.125,0.333,0.125,55.6,11.1,0.332,0.332,0,0,0,0,0,0,0,0,0,0,34734,1f3c9a50-f0ab-4e8b-a4e4-8fc43f4116b2,Tyler,White,NA,115,2,R,1B,NA,Tyler White,2800.00,56753,HOU,False,1B,SEA,0,0,718784,,,7.4,7.4,7.4,24.00%,,300,-2,,2.64,0.30833333333333,718784,34734,,0,,,8.4,7.4,7.4,7.28,NA,8.4,10,5.28,-132,5.28,Gearrin,Cory,R,11145,6,1,Pat Hoberg,Neutral,0.22,0.08,50.14688525,58.242,42.295117616876,42.028725,34.6601215,33.42478935,59.4825,1.4870625,43.81,1,13
,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10509,5fec650f-de86-43d2-9efb-32af34a4d5a4,Carlos,Gonzalez,NA,111,2,L,OF,NA,Carlos Gonzalez,3300.00,55826,CHC,True,OF,LAA,0,0,718753,,,7.66,7.66,7.66,0.00%,,1300,-2,,2.32,0,718753,10509,,0,,,8.78,7.66,7.66,7.54,NA,8.68,9,5.14,-178,5.14,Bedrosian,Cam,R,17721,5,1,Jerry Meals,Neutral,0.23,0.08,53.536153125,54.216,49.619577523148,41.76555,29.861702,33.0706555,53.0365,1.3259125,45.19,5,15
0.312,8.557,0.299,0.689,0.390,6,0.067,69,6,199,559,0.299,0.123,0.283,0.267,11.6,3.9,0.308,0.331,7.927,0.287,0.686,0.399,0,0.074,23,1,55,158,0.297,0.133,0.288,0.266,14.0,3.0,0.308,0.331,7.927,0.287,0.686,0.399,0,0.074,23,1,55,158,0.297,0.133,0.288,0.266,14.0,3.0,0.308,0.344,12.308,0.338,0.782,0.444,0,0.087,7,1,24,63,0.344,0.127,0.333,0.317,10.8,3.1,0.308,0.290,9.091,0.333,0.771,0.438,0,0.083,4,1,12,32,0.334,0.125,0.333,0.312,12.1,3.0,0.308,0.267,5.882,0.412,0.850,0.438,0,0,2,1,6,16,0.372,0.062,0.429,0.375,11.8,5.9,0.308,0.308,5,0.600,0.616,0.2,0.667,0.800,0.0,16.7,1.467,0.6,35357,bd519b9f-7539-4282-a741-3bd2bf532c40,Yulieski,Gurriel,NA,115,2,R,3B,NA,Yulieski Gurriel,3500.00,56753,HOU,False,1B/3B,SEA,0,0,718683,,,14.29512,1.9296,8.04,31.00%,,300,6,,2.3,0.25935483870968,718683,35357,,0.778,,,10.46,8.04,8.04,7.9,NA,8.57,10,5.28,-132,5.28,Gearrin,Cory,R,11145,4,1,Pat Hoberg,Neutral,0.22,0.08,47.573194,58.242,47.483120496009,42.0372,36.576588,36.2028841,56.2807,1.4070175,46.44,2,15
0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.097,0,0.000,0.000,0.000,0,0,4,0,5,10,0,0,0,0.000,40.0,0.0,0.159,0.159,5,0.000,0,0,0.000,0.000,40.0,0.0,0.000,0,1054002,1cd96fa8-c5f0-4e44-85a4-cc968754b3c6,Jack,Mayfield,NA,115,2,R,2B,NA,Jack Mayfield,2900.00,56753,HOU,False,2B/SS,SEA,0,0,718691,,,10.75728,0.0061400000000003,6.14,37.00%,,600,5,,2.12,0.16594594594595,718691,1054002,,0.752,,,7.95,6.14,6.14,6.02,NA,6.55,10,5.28,-132,5.28,Gearrin,Cory,R,11145,8,1,Pat Hoberg,Neutral,0.22,0.08,43.5398175,58.242,42.789493415051,38.291095,31.759629,31.72398905,42.2125,1.0553125,36.08,1,19
0.396,10.968,0.333,0.766,0.433,2,0.133,75,14,226,268,0.335,0.194,0.292,0.239,24.2,11.9,0.342,0.317,9.333,0.324,0.817,0.493,0,0.167,18,4,56,67,0.349,0.239,0.304,0.254,24.0,9.3,0.342,0.317,9.333,0.324,0.817,0.493,0,0.167,18,4,56,67,0.349,0.239,0.304,0.254,24.0,9.3,0.342,0.277,3.448,0.321,0.669,0.348,0,0,4,2,21,23,0.300,0.174,0.211,0.174,13.8,17.2,0.342,0.366,0,0.267,0.696,0.429,0,0,4,1,11,14,0.293,0.214,0.3,0.214,26.7,6.7,0.342,0.359,0,0.200,0.600,0.400,0,0,3,1,7,10,0.246,0.2,0.286,0.200,30.0,0.0,0.342,0.342,0,0,0,0,0,0,0,0,0,0,16227,a6d72a5b-db58-48c4-9bda-7b8eb22ab5d0,Chris,Taylor,NA,116,2,R,2B,NA,Chris Taylor,3400.00,56751,LAD,False,2B/OF,ARI,0,0,718653,,,13.42198,0.0072200000000002,7.22,39.00%,,1000,-14,,2.12,0.18512820512821,718653,16227,,0.859,,,9.49,7.22,7.22,7.15,NA,7.65,8.5,4.48,-132,-0.1,Ray,Robbie,L,17457,1,1,Gary Cederstrom,Neutral,0.23,0.08,69.509384375,55.59,47.233829415423,51.639675,25.52758,37.385106,65.987,1.649675,54.46,7,12
0.380,6.667,0.467,1.110,0.643,0,0.2,0,6,14,14,0.475,0.214,0.385,0.429,0.0,6.7,0.397,0.344,0,0.600,1.200,0.600,0,0,0,3,3,5,0.527,0,0.6,0.600,0.0,0.0,0.397,0.344,0,0.600,1.200,0.600,0,0,0,3,3,5,0.527,0,0.6,0.600,0.0,0.0,0.397,0.344,0,0.600,1.200,0.600,0,0,0,3,3,5,0.527,0,0.6,0.600,0.0,0.0,0.397,0.344,0,0.600,1.200,0.600,0,0,0,3,3,5,0.527,0,0.6,0.600,0.0,0.0,0.397,0.344,0,0.600,1.200,0.600,0,0,0,3,3,5,0.527,0,0.6,0.600,0.0,0.0,0.397,0.397,4,0.750,0.659,0,0.750,0.750,0.0,0.0,1.500,0.75,538921,7c6cd7f8-4089-4765-b796-1f94fd48c3a7,Myles,Straw,NA,115,2,R,OF,NA,Myles Straw,3500.00,56753,HOU,False,OF,SEA,0,0,718690,,,12.22306,1.87706,7.39,11.00%,,1500,-3,,2.11,0.67181818181818,718690,538921,,0.654,,,9.53,7.39,7.39,7.26,NA,7.92,10,5.28,-132,5.28,Gearrin,Cory,R,11145,9,1,Pat Hoberg,Neutral,0.22,0.08,44.0910325,58.242,42.832199800456,41.16435,33.072811,36.6694032,70.5589,1.7639725,35.66,1,17
0.445,10.350,0.335,0.827,0.492,11,0.223,141,3,196,543,0.356,0.241,0.264,0.250,22.5,10.0,0.430,0.400,8.649,0.351,0.835,0.484,4,0.216,35,0,56,155,0.362,0.239,0.241,0.245,18.9,12.4,0.430,0.400,8.649,0.351,0.835,0.484,4,0.216,35,0,56,155,0.362,0.239,0.241,0.245,18.9,12.4,0.430,0.358,8.571,0.300,0.726,0.426,0,0.12,13,0,24,61,0.310,0.197,0.234,0.230,18.6,10.0,0.430,0.274,6.452,0.226,0.405,0.179,0,0,8,0,11,28,0.192,0.036,0.2,0.143,25.8,9.7,0.430,0.307,9.091,0.273,0.473,0.200,0,0,4,0,5,10,0.222,0,0.333,0.200,36.4,9.1,0.430,0.430,0,0,0,0,0,0,0,0,0,0,10443,8ec56596-5b8b-41f8-88a7-384f20b8b6a7,Edwin,Encarnacion,NA,105,2,R,1B,NA,Edwin Encarnacion,4400.00,56753,SEA,True,1B,HOU,0,0,718686,,,15.56412,1.80493,9.07,19.00%,,500,0,,2.06,0.47736842105263,718686,10443,,0.716,,,12.17,9.07,9.07,9.16,NA,9.66,10,4.72,116,4.72,Martin,Corbin,R,1018408,3,1,Pat Hoberg,Neutral,0.22,0.08,72.73485125,56.442,52.874138513514,70.70293,48.6976725,56.7852924,35.7494,0.893735,64.1,9,8
0.465,8.878,0.342,0.811,0.469,0,0.260,161,4,189,501,0.354,0.242,0.260,0.228,27.0,15.1,0.325,0.436,7.303,0.315,0.707,0.392,0,0.2,48,0,53,148,0.312,0.196,0.221,0.196,27.0,15.2,0.325,0.436,7.303,0.315,0.707,0.392,0,0.2,48,0,53,148,0.312,0.196,0.221,0.196,27.0,15.2,0.325,0.452,7.609,0.348,0.771,0.423,0,0.208,23,0,25,71,0.341,0.239,0.178,0.183,25.0,20.7,0.325,0.443,6.122,0.286,0.701,0.415,0,0.214,16,0,13,41,0.306,0.268,0.136,0.146,32.7,16.3,0.325,0.374,0,0.304,0.582,0.278,0,0.2,7,0,6,18,0.277,0.167,0.1,0.111,30.4,21.7,0.325,0.325,2,0.500,0.563,0,0.750,0.500,25.0,50.0,1.250,1,18884,c3d9c2d5-8100-409b-a7ea-d5bf7931fc14,Kyle,Schwarber,NA,111,2,L,OF,NA,Kyle Schwarber,4100.00,55826,CHC,True,OF,LAA,0,0,718646,,,15.50595,1.9205,8.35,0.00%,,700,5,,2.04,0,718646,18884,,0.857,,,11.1,8.35,8.35,8.38,NA,8.98,9,5.14,-178,5.14,Bedrosian,Cam,R,17721,1,1,Jerry Meals,Neutral,0.23,0.08,62.539959375,56.216,49.194792569444,46.3075,31.7540345,43.9682625,43.0557,1.0763925,52.13,9,13
0.456,5.556,0.389,0.872,0.483,0,0.214,22,1,81,60,0.379,0.217,0.371,0.267,30.6,16.7,0.358,0.416,5.263,0.474,1.099,0.625,0,0.25,3,0,15,16,0.467,0.25,0.417,0.375,15.8,15.8,0.358,0.416,5.263,0.474,1.099,0.625,0,0.25,3,0,15,16,0.467,0.25,0.417,0.375,15.8,15.8,0.358,0.195,0,0.375,0.661,0.286,0,0,1,0,9,7,0.306,0,0.333,0.286,12.5,12.5,0.358,0.238,0,0.600,1.100,0.500,0,0,1,0,5,4,0.489,0,0.667,0.500,20.0,20.0,0.358,,0,0.500,0.500,0.000,0,0,1,0,2,1,0.344,0,,0.000,50.0,50.0,0.358,0.358,0,0,0,0,0,0,0,0,0,0,10399,6f4ebcb1-5518-4e8a-9fdc-a3ed5358a22b,Sean,Rodriguez,NA,119,2,R,2B,NA,Sean Rodriguez,3700.00,56752,PHI,False,3B/SS,SDP,0,0,718779,,,7.4,7.4,7.4,13.00%,,1500,-2,,2,0.56923076923077,718779,10399,,0,,,8.4,7.4,7.4,7.28,NA,8.4,7.5,3.95,-130,0,Lauer,Eric,L,259699,8,1,Ramon De Jesus,Neutral,0.22,0.09,69.076675875,49.454,51.960712073927,52.28615,49.475275,49.80246415,34.0233,0.8505825,50.15,6,15
0.396,13.636,0.318,0.754,0.436,3,0.25,17,2,33,39,0.330,0.205,0.35,0.231,38.6,4.5,0.417,0.396,13.636,0.318,0.754,0.436,3,0.25,17,2,33,39,0.330,0.205,0.35,0.231,38.6,4.5,0.417,0.396,13.636,0.318,0.754,0.436,3,0.25,17,2,33,39,0.330,0.205,0.35,0.231,38.6,4.5,0.417,0.250,8.333,0.250,0.450,0.200,2,0,4,1,8,10,0.224,0.1,0.167,0.100,33.3,0.0,0.417,0.135,0,0.143,0.143,0.000,1,0,4,0,5,6,0.103,0,0,0.000,57.1,0.0,0.417,0.018,0,0.333,0.333,0.000,1,0,1,0,4,2,0.239,0,0,0.000,33.3,0.0,0.417,0.417,0,0,0,0,1.000,0.000,0,0,1.000,0,814186,bfa2cdb5-bcef-4d21-b84d-b2e7fb57d85c,Dylan,Moore,NA,105,2,R,3B,NA,Dylan Moore,3200.00,56753,SEA,True,3B/SS,HOU,0,0,718780,,,6.4,6.4,6.4,6.00%,,1200,3,,2,1.0666666666667,718780,814186,,0,,,7.2,6.4,6.4,6.24,NA,7.2,10,4.72,116,4.72,Martin,Corbin,R,1018408,9,1,Pat Hoberg,Neutral,0.22,0.08,65.043446125,56.442,48.229595945946,58.300055,47.281718,49.89529365,64.4392,1.61098,47.36,0,9
